DATE,LA,SEA,DEN,AUS,DC,DET,PHX,MIN,BOS,MIA,NY,CHI,ATL,LV
7/1/1999,96.64867112,114.4553192,94.37796331,92.89292848,97.294907,117.7945787,109.5119102,121.2571627,95.07794678,96.79035913,94.93969837,96.62968229,117.036786,98.22249197
8/1/1999,97.17484698,114.7553522,95.55534868,94.27522611,98.01488089,117.8318582,109.8604777,122.1184681,96.08005013,97.2803909,96.02420387,97.17505505,117.3214857,98.18055286
9/1/1999,97.67920952,115.0462593,96.95895761,95.5962274,98.59970275,118.1291382,110.2765554,123.1955883,97.20470951,97.88827881,96.79117484,97.75031606,117.7235729,98.57566239
10/1/1999,98.328701,115.4338195,98.03769117,96.76429573,98.99249312,118.7979495,110.7513745,124.095356,98.21241963,97.94699026,97.59161814,98.66090949,118.028713,98.98939042
11/1/1999,99.23870321,115.9076763,98.84846677,98.50882748,99.45585622,119.1139485,111.098988,125.282529,99.27091232,98.54636049,98.40007507,99.40511281,118.4450638,99.54297917
12/1/1999,100.3296484,116.629696,99.66617859,100.0291529,100.094135,119.4409512,111.6535514,125.9766535,100.3583134,99.31631561,99.35196677,100.1432564,118.6938529,99.85235171
1/1/2000,101.0312093,116.8455817,100.663014,101.4499539,100.8718324,119.7727215,112.157385,126.4199768,100.9198171,99.94340918,100.3392301,100.5648396,119.2967154,100.4013792
2/1/2000,102.0434064,117.4795972,101.6525472,104.1706043,101.7012372,120.0050231,112.7909981,126.978785,101.8942215,100.4737866,101.2406567,101.411386,119.5742778,100.904482
3/1/2000,103.2246994,117.9992113,102.73559,107.3372228,102.8941892,120.950254,113.2063822,128.1233038,102.6510122,101.0864618,102.0606312,102.4277596,120.1514893,101.4374829
4/1/2000,104.159399,118.4666719,103.5434323,110.6329942,103.9540369,121.3782559,113.6804638,128.9946825,104.3476525,102.0112627,103.1325035,103.4111918,120.8657259,101.5957005
5/1/2000,104.9246979,118.8851887,105.3022503,113.8005135,104.9246176,122.1673818,114.1978556,130.220039,106.0095429,102.7529686,104.9158685,104.3911075,120.9406359,102.0469294
6/1/2000,105.6934072,119.3610208,106.9080693,116.8151059,105.7185093,121.8042843,114.6767184,131.2041349,107.9302733,103.4057954,106.0646994,105.5093608,120.8948464,102.2784767
7/1/2000,106.3246874,119.9652889,108.299133,117.8649973,106.7113598,121.6004083,114.9940436,132.2891623,108.9245284,103.6962614,107.0202911,106.0311411,121.290294,102.6734787
8/1/2000,106.9666327,121.0171563,109.2996235,119.0478371,107.7926427,121.6044632,115.2858068,133.2857395,110.1291741,104.35609,108.0247499,106.4225177,121.7247688,103.2220011
9/1/2000,107.8867871,121.6985769,110.5514338,120.4148555,108.9946546,121.7997802,115.5396139,133.8947044,111.3708453,105.1079677,108.8255102,106.7101025,122.242803,103.8936804
10/1/2000,108.8086567,122.8347063,111.7279527,123.250015,109.8719599,122.1114899,115.8141978,135.2622587,112.9694186,106.0967006,109.7860037,106.9778297,122.7244364,104.675437
11/1/2000,109.9839187,123.5199511,113.0985695,126.4431114,111.0880112,122.4379738,116.2411878,136.1349114,114.7702489,107.403798,110.6366845,107.4722863,123.2330236,105.0359555
12/1/2000,110.7160052,124.8350503,114.5405619,130.061234,112.4042338,122.7016927,116.7144976,137.9123746,116.9504966,108.6589524,111.8395437,108.1494834,123.9485867,105.5192317
1/1/2001,112.0314763,125.5832446,115.5055318,133.0402447,113.7944111,123.2648282,117.7099059,138.8610661,118.8376383,110.2410822,112.9362586,108.9228475,124.6365022,105.7701062
2/1/2001,112.9028992,126.5822865,116.8803771,135.0752616,115.3905908,123.9567212,118.6079406,140.0442348,120.4067084,111.0737813,114.2519525,109.5209268,125.4442937,106.1714893
